Name,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector_x,Industry,City,State,Symbol,Sector_y,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
EOG Resources,"$11,208 ","$2,582.60 ","$29,833 ","2,664",Energy,"Mining, Crude-Oil Production",Houston,TX,EOG,Energy,101.04,246.44,0.63339007,-1.98,119.0,81.99,61164030149,3692749000.0,8.023019999999999,4.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
Sempra Energy,"$11,207 ",$256.00 ,"$50,454 ","16,046",Energy,Utilities: Gas and Electric,San Diego,CA,SRE,Utilities,103.36,19.14,3.1607263,5.45,122.975,100.63,26163862235,3763000000.0,3.1530299999999998,1.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
MGM Resorts International,"$10,774 ","$1,960.30 ","$29,159 ","68,500","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,MGM,Consumer Discretionary,33.5,29.65,1.2687428,1.92,38.41,25.15,19633674337,2680385000.0,2.2276719,3.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGM
Jacobs Engineering Group,"$10,023 ",$293.70 ,"$7,381 ","49,750",Engineering &  Construction,"Engineering, Construction",Dallas,TX,JEC,Industrials,62.82,19.45,0.9089531999999999,2.43,72.18,49.31,9326484316,409832000.0,1.2129636000000001,2.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC
BorgWarner,"$9,799 ",$439.90 ,"$9,788 ","29,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Auburn Hills,MI,BWA,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000.0,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
SunTrust Banks,"$9,741 ","$2,273.00 ","$205,962 ","23,785",Financials,Commercial Banks,Atlanta,GA,STI,Financials,65.8,16.25,2.3185046000000002,4.48,72.06,51.96,32498948310,0.0,3.3089445,1.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI
CenterPoint Energy,"$9,614 ","$1,792.00 ","$22,736 ","7,977",Energy,Utilities: Gas and Electric,Houston,TX,CNP,Utilities,25.85,19.73,4.2109255999999995,1.0,30.45,25.51,11362043297,2337000000.0,1.6262617,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
Eastman Chemical,"$9,549 ","$1,384.00 ","$15,999 ","14,000",Chemicals,Chemicals,Kingsport,TN,EMN,Materials,93.57,12.28,2.2630835,10.12,104.08,76.02,14226830813,2152000000.0,1.4904785,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
Chesapeake Energy,"$9,496 ",$949.00 ,"$12,425 ","3,200",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,CHK,Energy,2.82,4.7,0.0,-6.44,6.59,2.8,2626102121,1470000000.0,0.40765184,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
Mohawk Industries,"$9,491 ",$971.60 ,"$12,095 ","38,800",Household Products,"Home Equipment, Furnishings",Calhoun,GA,MHK,Consumer Discretionary,256.57,19.08,0.0,12.48,286.85,209.9,19897356456,1750393000.0,2.7977824,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHK
Advance Auto Parts,"$9,374 ",$475.50 ,"$8,482 ","55,500",Retailing,Specialty Retailers: Other,Roanoke,VA,AAP,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867,853941000.0,1.1301061000000001,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
Conagra Brands,"$9,235 ",$639.30 ,"$10,096 ","12,600","Food, Beverages &  Tobacco",Food Consumer Products,Chicago,IL,CAG,Consumer Staples,35.49,18.2,2.3683476000000003,1.46,41.68,32.16,14379717835,1281200000.0,1.8294993999999998,3.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
Fidelity National Information Services,"$9,123 ","$1,319.00 ","$24,517 ","53,000",Business Services,Financial Data Services,Jacksonville,FL,FIS,Information Technology,92.74,22.08,1.322724,1.72,103.65,77.63,32308459680,2782000000.0,4.7038417,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
Boston Scientific,"$9,048 ",$104.00 ,"$19,042 ","29,000",Health Care,Medical Products and Equipment,Marlboro,MA,BSX,Health Care,25.2,20.0,0.0,0.07,29.93,23.29,36142506007,1726000000.0,4.0556849999999995,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
Lam Research,"$8,014 ","$1,697.80 ","$12,123 ","9,400",Technology,Semiconductors and Other Electronic Components,Fremont,CA,LRCX,Information Technology,162.23,16.29,1.1652973999999998,9.22,219.7,113.1982,27967534829,2967218000.0,3.0405292999999998,4.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX
Campbell Soup,"$7,890 ",$887.00 ,"$7,726 ","18,000","Food, Beverages &  Tobacco",Food Consumer Products,Camden,NJ,CPB,Consumer Staples,44.83,14.84,3.125,2.89,64.23,43.5,13467193376,1683000000.0,2.3898203,7.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
Interpublic Group,"$7,882 ",$579.00 ,"$12,695 ","50,200",Business Services,"Advertising, marketing",New York,NY,IPG,Consumer Discretionary,21.34,15.46,3.3802817000000003,1.49,25.71,18.3,8277363031,1074900000.0,1.4712903,4.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
Zimmer Biomet Holdings,"$7,824 ","$1,813.80 ","$25,965 ","18,200",Health Care,Medical Products and Equipment,Warsaw,IN,ZBH,Health Care,115.53,14.32,0.7948335999999999,9.01,133.49,108.17,24454698119,2007400000.0,3.1648953,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH
Eversource Energy,"$7,752 ",$988.00 ,"$36,220 ","8,084",Energy,Utilities: Gas and Electric,Springfield,MA,ES,Utilities,56.11,18.22,3.3397784,2.96,66.15,55.2,18027633617,2738713000.0,3.1134193,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
Alliance Data Systems,"$7,719 ",$788.70 ,"$30,685 ","20,000",Business Services,Financial Data Services,Plano,TX,ADS,Information Technology,240.6,13.02,0.9240122,14.13,278.33,209.0,13632608582,2143200000.0,1.7282297999999998,8.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
Fifth Third Bancorp,"$7,713 ","$2,194.00 ","$142,193 ","18,125",Financials,Commercial Banks,Cincinnati,OH,FITB,Financials,31.1,16.9,1.9789734,2.85,33.91,23.2,22437653700,0.0,2.8802847999999996,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
Quest Diagnostics,"$7,709 ",$772.00 ,"$10,503 ","45,000",Health Care,Health Care: Pharmacy and Other Services,Secaucus,NJ,DGX,Health Care,96.42,17.07,1.9884668999999997,5.5,112.965,90.1,13578300000,1453000000.0,1.7709883000000002,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
DXC Technology,"$7,607 ",($123.00),"$8,663 ","60,000",Technology,Information Technology Services,Tysons,VA,DXC,Information Technology,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020,1628000000.0,1.9598055,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC
Huntington Ingalls Industries,"$7,441 ",$479.00 ,"$6,374 ","38,000",Aerospace &  Defense,Aerospace and Defense,Newport News,VA,HII,Industrials,225.37,18.75,1.2264713,12.15,253.44,183.42,10628247899,1107000000.0,1.8924941000000002,6.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII
Constellation Brands,"$7,332 ","$1,535.10 ","$18,602 ","8,700","Food, Beverages &  Tobacco",Beverages,Victor,NY,STZ,Consumer Staples,208.73,30.92,0.9712818000000001,8.71,229.5,152.01,41697453163,3033300000.0,5.145596,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
Darden Restaurants,"$7,170 ",$479.10 ,"$5,504 ","178,729","Hotels, Restaurants &  Leisure",Food Services,Orlando,FL,DRI,Consumer Discretionary,91.33,22.72,2.6503997000000004,3.81,100.11,71.7,11745595320,997600000.0,1.5278828000000002,5.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
Activision Blizzard,"$7,017 ",$273.00 ,"$18,668 ","9,800",Technology,Entertainment,Santa Monica,CA,ATVI,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2704000000.0,10.59512,5.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
KeyCorp,"$6,868 ","$1,296.00 ","$137,698 ","18,415",Financials,Commercial Banks,Cleveland,OH,KEY,Financials,20.08,14.66,1.9876952,1.12,22.22,16.28,22589744920,0.0,3.270451,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEY
Rockwell Collins,"$6,822 ",$705.00 ,"$17,997 ","29,000",Aerospace &  Defense,Aerospace and Defense,Cedar Rapids,IA,COL,Industrials,133.31,22.29,0.9748892,4.8,139.63,89.9,22197870556,1696000000.0,3.781273,3.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL
Dr Pepper Snapple Group,"$6,690 ","$1,076.00 ","$10,022 ","21,000","Food, Beverages &  Tobacco",Beverages,Plano,TX,DPS,Consumer Staples,116.93,26.57,1.9661016,4.54,126.65,83.23,21209783858,1507000000.0,4.2149186,9.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
CMS Energy,"$6,583 ",$460.00 ,"$23,050 ","7,887",Energy,Utilities: Gas and Electric,Jackson,MI,CMS,Utilities,41.77,21.42,3.3918407,1.99,50.85,41.07,11873960824,2099000000.0,2.4711676,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
Citizens Financial Group,"$6,454 ","$1,652.00 ","$152,336 ","17,594",Financials,Commercial Banks,Providence,RI,CFG,Financials,42.19,16.04,1.9625335,3.27,48.23,31.51,22008050974,0.0,3.3917346,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
Franklin Resources,"$6,392 ","$1,696.70 ","$17,534 ","9,386",Financials,Securities,San Mateo,CA,BEN,Financials,38.0,12.67,2.3326569999999998,3.0,47.65,37.01,21759187973,2711300000.0,3.3991010000000004,1.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
Sealed Air,"$6,131 ",$814.90 ,"$5,280 ","15,000",Materials,"Packaging, Containers",Charlotte,NC,SEE,Materials,42.62,21.31,1.4427412,2.46,50.62,41.22,8001938397,969700000.0,2.4700067000000003,10.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE
Intercontinental Exchange,"$5,834 ","$2,514.00 ","$78,264 ","4,952",Financials,Securities,Atlanta,GA,ICE,Financials,67.0,22.95,5.4298644,2.37,76.1378,56.8,41373051167,3103000000.0,9.619987,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
Cincinnati Financial,"$5,732 ","$1,045.00 ","$21,843 ","4,925",Financials,Insurance: Property and Casualty (Stock),Fairfield,OH,CINF,Financials,70.34,27.48,2.918904,3.55,81.98,68.24,11916533018,0.0,2.756679,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
Harley-Davidson,"$5,647 ",$521.80 ,"$9,973 ","5,800",Transportation,Transportation Equipment,Milwaukee,WI,HOG,Consumer Discretionary,47.54,13.7,3.0218647,2.98,63.4,44.52,8158949890,1058817000.0,1.66195,4.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG
NetApp,"$5,519 ",$509.00 ,"$9,493 ","10,100",Technology,"Computers, Office Equipment",Sunnyvale,CA,NTAP,Information Technology,55.85,26.1,1.3881658000000001,1.81,64.0599,37.43,15375210915,1075000000.0,3.6687025999999996,5.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP
Pioneer Natural Resources,"$5,455 ",$833.00 ,"$17,003 ","3,836",Energy,"Mining, Crude-Oil Production",Irving,TX,PXD,Energy,169.16,118.29,0.1816118,-3.39,199.83,125.46,29983119693,1717000000.0,6.7890477,2.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD
Host Hotels & Resorts,"$5,387 ",$564.00 ,"$11,693 ",205,Financials,Real estate,Bethesda,MD,HST,Real Estate,18.75,11.23,4.1131105,1.02,21.53,17.26,14394715334,1547000000.0,3.5549128,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
Zoetis,"$5,307 ",$864.00 ,"$8,586 ","9,200",Health Care,Pharmaceuticals,Parsippany-Troy Hills,NJ,ZTS,Health Care,71.51,32.8,0.68237203,1.65,80.13,52.0,35991109776,1734000000.0,9.280896,18.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZTS
Fortune Brands Home & Security,"$5,283 ",$472.60 ,"$5,511 ","23,870",Household Products,"Home Equipment, Furnishings",Deerfield,IL,FBHS,Industrials,62.44,20.27,1.2618296,3.04,73.62,55.25,9624169008,814500000.0,1.8434572,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS
Robert Half International,"$5,267 ",$290.60 ,"$1,868 ","17,200",Business Services,Temporary Help,Menlo Park,CA,RHI,Industrials,52.26,20.18,1.7075773,2.32,60.59,42.92,7047165475,565196000.0,1.3330402,5.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
Navient,"$5,179 ",$292.00 ,"$114,991 ","6,700",Financials,Diversified Financials,Wilmington,DE,NAVI,Financials,13.38,7.56,4.558404400000001,1.01,16.97,11.481,3692691330,0.0,0.6986579,1.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NAVI
Cerner,"$5,142 ",$867.00 ,"$6,469 ","26,000",Health Care,Health Care: Pharmacy and Other Services,North Kansas City,MO,CERN,Health Care,61.22,27.09,0.0,1.84,73.86,51.2617,21101697598,1523440000.0,5.5560412,4.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
Juniper Networks,"$5,027 ",$306.20 ,"$9,834 ","9,381",Technology,Network and Other Communications Equipment,Sunnyvale,CA,JNPR,Information Technology,24.66,14.09,1.5754233999999998,0.78,30.96,23.87,9267350000,1115500000.0,1.8543326,1.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
Total System Services,"$4,928 ",$586.20 ,"$6,332 ","11,800",Business Services,Financial Data Services,Columbus,GA,TSS,Information Technology,81.17,25.85,0.6091133000000001,3.16,89.92,50.96,15694951118,1097534000.0,3.175548,6.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
Electronic Arts,"$4,845 ",$967.00 ,"$7,718 ","8,800",Technology,Entertainment,Redwood City,CA,EA,Information Technology,116.54,34.48,0.0,3.07,131.01,81.27,37890226992,1560000000.0,7.4415816999999995,8.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
Huntington Bancshares,"$4,740 ","$1,186.00 ","$104,185 ","15,770",Financials,Commercial Banks,Columbus,OH,HBAN,Financials,15.1,15.41,2.8132992000000003,1.0,16.53,12.14,16766497291,0.0,3.5112102,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
Roper Technologies,"$4,608 ",$971.80 ,"$14,316 ","14,236",Technology,"Scientific,Photographic and  Control Equipment",Sarasota,FL,ROP,Industrials,259.4,27.57,0.61985797,9.38,290.415,191.22,27247789759,1555209000.0,5.9715905,4.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
Chipotle Mexican Grill,"$4,476 ",$176.30 ,"$2,046 ","68,890","Hotels, Restaurants &  Leisure",Food Services,Denver,CO,CMG,Consumer Discretionary,266.01,45.86,0.0,0.8,499.0,263.0,7685283970,401293000.0,2.5523853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
Equinix,"$4,368 ",$233.00 ,"$18,692 ","7,273",Financials,Real estate,Redwood City,CA,EQIX,Real Estate,409.98,23.06,1.8775817,1.77,495.345,361.9,33333813618,1687152000.0,10.639136,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
Dentsply Sirona,"$3,993 ","($1,550.00)","$10,375 ","16,100",Health Care,Medical Products and Equipment,York,PA,XRAY,Health Care,56.85,22.65,0.60034305,1.99,68.98,52.535,13390513478,-411100000.0,4.6262620000000005,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY
Martin Marietta Materials,"$3,966 ",$713.30 ,"$8,993 ","8,406",Materials,"Building Materials, Glass",Raleigh,NC,MLM,Materials,208.42,30.38,0.8042038,6.63,244.32,191.09,13756812736,975223000.0,4.416998,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MLM
Leggett & Platt,"$3,944 ",$292.60 ,"$3,551 ","22,200",Household Products,"Home Equipment, Furnishings",Carthage,MO,LEG,Consumer Discretionary,43.99,17.88,3.1454785,2.76,54.97,42.0,6034600480,447000000.0,2.0302901,4.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEG
Vulcan Materials,"$3,890 ",$601.20 ,"$9,505 ","8,287",Materials,"Building Materials, Glass",Birmingham,AL,VMC,Materials,121.47,40.9,0.7797879,3.1,141.2,108.95,16964162228,970976000.0,5.7576876,3.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VMC
Church & Dwight,"$3,776 ",$743.40 ,"$6,015 ","4,700",Household Products,Household and Personal Products,Ewing Township,NJ,CHD,Consumer Staples,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451,868000000.0,3.1682447999999996,6.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
Skyworks Solutions,"$3,651 ","$1,010.20 ","$4,574 ","8,400",Technology,Semiconductors and Other Electronic Components,Woburn,MA,SWKS,Information Technology,99.04,16.45,1.2629502000000001,5.41,117.65,90.53,18493080922,1122900000.0,6.970443700000001,4.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
Pinnacle West Capital,"$3,565 ",$488.50 ,"$17,019 ","6,292",Energy,Utilities: Gas and Electric,Phoenix,AZ,PNW,Utilities,74.34,16.06,3.698776,3.95,92.48,73.81,8397609889,1614399000.0,2.9931207000000004,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW
Alexion Pharmaceuticals,"$3,551 ",$443.30 ,"$13,583 ","2,525",Health Care,Pharmaceuticals,New Haven,CT,ALXN,Health Care,108.47,22.18,0.0,1.77,149.34,96.18,26172439795,1072000000.0,9.720562,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
TransDigm Group,"$3,529 ",$596.90 ,"$9,976 ","9,200",Aerospace &  Defense,Aerospace and Defense,Cleveland,OH,TDG,Industrials,283.0,23.76,0.0,7.92,321.38,203.72,15241203731,1635916000.0,4.268832,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
Edwards Lifesciences,"$3,435 ",$583.60 ,"$5,696 ","12,200",Health Care,Medical Products and Equipment,Irvine,CA,EW,Health Care,123.78,32.57,0.0,2.88,138.48,89.2,27447099863,1156700000.0,7.8283277,8.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
Microchip Technology,"$3,426 ",$164.60 ,"$7,687 ","12,656",Technology,Semiconductors and Other Electronic Components,Chandler,AZ,MCHP,Information Technology,79.9,21.77,1.7512966,0.66,99.17,69.76,19393095636,997492000.0,7.4475183000000005,5.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP
Monster Beverage,"$3,369 ",$820.70 ,"$4,791 ","2,589","Food, Beverages &  Tobacco",Beverages,Corona,CA,MNST,Consumer Staples,61.99,42.17,0.0,1.19,70.215,41.02,36403831015,1229478000.0,14.152586999999999,9.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST
Hologic,"$3,059 ",$755.50 ,"$7,980 ","6,233",Health Care,Medical Products and Equipment,Marlboro,MA,HOLX,Health Care,38.8,19.21,0.0,2.64,46.8,35.76,11181493750,1561000000.0,4.80335,4.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
Qorvo,"$3,033 ",($16.60),"$6,522 ","8,600",Technology,Semiconductors and Other Electronic Components,Greensboro,NC,QRVO,Information Technology,76.85,19.71,0.0,-0.13,85.24,62.68,9877885146,806875000.0,3.3891419999999997,1.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO
Citrix Systems,"$2,883 ",($20.70),"$5,820 ","7,500",Technology,Computer Software,Fort Lauderdale,FL,CTXS,Information Technology,84.53,20.37,0.0,-0.24,95.0,73.3346,13199167493,810268000.0,4.7538714,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS
Varian Medical Systems,"$2,862 ",$249.60 ,"$3,179 ","6,600",Health Care,Medical Products and Equipment,Palo Alto,CA,VAR,Health Care,112.82,29.93,0.0,2.69,130.29,77.73,10692681720,500600000.0,3.9652252,7.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR
Public Storage,"$2,669 ","$1,442.20 ","$10,733 ","5,600",Financials,Real estate,Glendale,CA,PSA,Real Estate,180.49,18.21,4.316159,6.81,232.21,180.9254,32258539942,1924803000.0,16.164170000000002,6.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
Prologis,"$2,618 ","$1,652.30 ","$29,481 ","1,565",Financials,Real estate,SF,CA,PLD,Real Estate,58.33,20.76,2.931379,3.06,67.53,48.69,31953288000,2969194000.0,14.380373,2.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD
Boston Properties,"$2,602 ",$462.40 ,"$19,372 ",740,Financials,Real estate,Boston,MA,BXP,Real Estate,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487,1546846000.0,6.839459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
Concho Resources,"$2,586 ",$956.00 ,"$13,732 ","1,203",Energy,"Mining, Crude-Oil Production",Midland,TX,CXO,Energy,140.09,84.39,0.0,-11.04,162.91,106.73,22021882339,2151190000.0,12.271951,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CXO
Kansas City Southern,"$2,583 ",$962.00 ,"$9,199 ","7,130",Transportation,Railroads,KCMO,MO,KSU,Industrials,103.53,19.8,1.3445379,9.16,114.85,81.54,11037040988,1295400000.0,4.281897,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU
Equity Residential,"$2,471 ",$603.50 ,"$20,571 ","2,683",Financials,Real estate,Chicago,IL,EQR,Real Estate,55.26,17.6,3.5437917999999997,1.63,70.455,56.07,20925508143,1710686000.0,8.593619,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
Vornado Realty Trust,"$2,345 ",$227.40 ,"$17,398 ","3,989",Financials,Real estate,New York,NY,VNO,Real Estate,66.18,16.22,3.744428,4.33,111.72,66.0101,12778779911,0.0,7.1491003,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO
PerkinElmer,"$2,301 ",$292.60 ,"$6,092 ","11,000",Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA,PKI,Health Care,72.06,24.68,0.3695394,2.64,84.49,52.63,8351767268,445658000.0,3.7116462999999995,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI
Verisk Analytics,"$2,145 ",$555.10 ,"$6,020 ","7,192",Business Services,Financial Data Services,Jersey City,NJ,VRSK,Industrials,92.28,28.84,0.0,3.45,100.54,75.6,15594677147,1011200000.0,9.935474000000001,9.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSK
F5 Networks,"$2,090 ",$420.80 ,"$2,481 ","4,366",Technology,Network and Other Communications Equipment,Seattle,WA,FFIV,Information Technology,137.25,21.21,0.0,6.51,149.5,114.63,8744185796,629940000.0,4.1203604,6.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
ResMed,"$2,067 ",$342.30 ,"$3,469 ","6,080",Health Care,Medical Products and Equipment,San Diego,CA,RMD,Health Care,89.26,31.54,1.5120423,2.41,104.78,67.04,13233622689,636942000.0,6.1640687000000005,6.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RMD
IDEXX Laboratories,"$1,969 ",$263.10 ,"$1,713 ","7,600",Health Care,Medical Products and Equipment,Westbrook,ME,IDXX,Health Care,169.28,53.57,0.0,2.94,198.73,140.63,15422885020,478307000.0,7.97525,196.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX
Cadence Design Systems,"$1,943 ",$204.10 ,"$2,419 ","7,214",Technology,Computer Software,San Jose,CA,CDNS,Information Technology,36.82,34.09,0.0,0.74,46.0,29.01,10890625200,455607000.0,5.751737,10.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
Cimarex Energy,"$1,918 ",$494.30 ,"$5,043 ",910,Energy,"Mining, Crude-Oil Production",Denver,CO,XEC,Energy,100.19,26.37,0.30214334,-4.64,136.31,89.49,10089082025,1061056000.0,7.556446,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
