Symbol,Company,Sector,PE_Ratio,CEO,Salary,Market Cap
HES,Hess Corp.,Energy,-9.33,John Hess,12572440,14016129999
ADP,"Automatic Data Processing, Inc.",Information Technology,29.34,Carlos Rodriguez,12489040,50337702249
DVN,Devon Energy Corp.,Energy,23.93,David Hager,12459068,19317380000
SYF,Synchrony Financial,Financials,13.35,Margaret Keane,12449138,28893750000
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,16.26,Richard Fain,12422715,27418147452
FISV,"Fiserv, Inc.",Information Technology,27.32,Jeffery Yabuki,12410769,26918949723
KLAC,KLA-Tencor Corp.,Information Technology,16.59,Richard Wallace,12391300,16078622033
SPGI,"S&P Global, Inc.",Financials,27.38,Douglas Peterson,12360845,46585950000
LH,Laboratory Corp. of America Holdings,Health Care,17.79,David King,12264236,17271388000
ROST,"Ross Stores, Inc.",Consumer Discretionary,26.52,Barbara Rentler,12248994,29803566306
PFG,"Principal Financial Group, Inc.",Financials,11.96,Daniel Houston,12227017,18457199721
MRO,Marathon Oil Corp.,Energy,-32.0,Lee Tillman,12210874,13875005314
AEP,"American Electric Power Co., Inc.",Utilities,17.32,Nicholas Akins,12202028,31701916517
XEL,"Xcel Energy, Inc.",Utilities,18.14,Benjamin Fowke III,12147768,21559611927
PNW,Pinnacle West Capital Corp.,Utilities,16.06,Donald Brandt,12145522,8397609889
EOG,"EOG Resources, Inc.",Energy,246.44,William Thomas,12042335,61164030149
KR,The Kroger Co.,Consumer Staples,13.07,W. McMullen,12037872,25471355847
AAL,"American Airlines Group, Inc.",Industrials,9.92,W. Parker,11999517,24594852352
PXD,Pioneer Natural Resources Co.,Energy,118.29,Timothy Dove,11936791,29983119693
WHR,Whirlpool Corp.,Consumer Discretionary,11.77,Marc Bitzer,11836275,12177920000
RSG,"Republic Services, Inc.",Industrials,26.13,Donald Slager,11787571,21590903863
PPG,"PPG Industries, Inc.",Materials,18.73,Michael McGarry,11784404,29043337549
HSY,The Hershey Co.,Consumer Staples,20.51,Michele Buck,11718372,20867272020
A,"Agilent Technologies, Inc.",Health Care,27.45,Michael McMullen,11708230,21984606918
ZTS,"Zoetis, Inc.",Health Care,32.8,Juan Alaix,11669400,35991109776
MAS,Masco Corp.,Industrials,22.12,Keith Allman,11636439,13428792315
VNO,Vornado Realty Trust,Real Estate,16.22,Steven Roth,11599270,12778779911
CL,Colgate-Palmolive Co.,Consumer Staples,24.02,Ian Cook,11551328,61616643498
ABC,AmerisourceBergen Corp.,Health Care,15.54,Steven Collis,11514115,20587704101
IT,"Gartner, Inc.",Information Technology,36.86,Eugene Hall,11502517,10828314389
NEM,Newmont Goldcorp Corp.,Materials,26.34,Gary Goldberg,11393771,19749449484
HD,"The Home Depot, Inc.",Consumer Discretionary,28.1,Craig Menear,11366662,223378633329
AKAM,"Akamai Technologies, Inc.",Information Technology,32.55,F. Leighton,11347676,10906904066
PPL,PPL Corp.,Utilities,12.83,William Spence,11338785,20839814845
IRM,"Iron Mountain, Inc.",Real Estate,15.42,William Meaney,11287272,9410249279
NBL,"Noble Energy, Inc.",Energy,105.96,David Stover,11213168,13177325251
WY,Weyerhaeuser Co.,Real Estate,34.29,Doyle Simons,11191321,26070297960
FITB,Fifth Third Bancorp,Financials,16.9,Greg Carmichael,11173652,22437653700
RJF,"Raymond James Financial, Inc.",Financials,16.94,Paul Reilly,11123643,13216271700
FE,FirstEnergy Corp.,Utilities,11.18,Charles Jones,11123128,13706075072
ILMN,"Illumina, Inc.",Health Care,52.25,Francis deSouza,11067566,32295200000
ADI,"Analog Devices, Inc.",Information Technology,17.67,Vincent Roche,11007691,31811578855
EQR,Equity Residential,Real Estate,17.6,David Neithercut,11004730,20925508143
DTE,DTE Energy Co.,Utilities,19.12,Gerard Anderson,10986809,17808073691
BLL,Ball Corp.,Materials,20.56,John Hayes,10941645,13767688518
TIF,Tiffany & Co.,Consumer Discretionary,27.0,Alessandro Bogliolo,10940139,12810515320
TSS,"Total System Services, Inc.",Information Technology,25.85,M. Woods,10854560,15694951118
WMB,"The Williams Cos., Inc.",Energy,48.41,Alan Armstrong,10691375,24802396470
DG,Dollar General Corp.,Consumer Discretionary,21.18,Todd Vasos,10602517,26580644874
LEG,"Leggett & Platt, Inc.",Consumer Discretionary,17.88,Karl Glassman,10567930,6034600480
MCO,Moody's Corp.,Financials,26.55,Raymond McDaniel,10556511,30189978000
MOS,The Mosaic Co.,Materials,23.66,James O'Rourke,10526054,9726962131
UAL,"United Continental Holdings, Inc.",Industrials,8.85,Oscar Munoz,10493832,19363059152
CAG,"Conagra Brands, Inc.",Consumer Staples,18.2,Sean Connolly,10473271,14379717835
GWW,"W.W. Grainger, Inc.",Industrials,22.57,Donald Macpherson,10455844,14639308205
PEG,"Public Service Enterprise Group, Inc.",Utilities,16.11,Ralph Izzo,10419291,24138050331
ETR,Entergy Corp.,Utilities,10.65,Leo Denault,10326456,13116894887
STZ,"Constellation Brands, Inc.",Consumer Staples,30.92,Robert Sands,10312778,41697453163
EW,Edwards Lifesciences Corp.,Health Care,32.57,Michael Mussallem,10278949,27447099863
VAR,"Varian Medical Systems, Inc.",Health Care,29.93,Dow Wilson,10276439,10692681720
PKG,Packaging Corporation of America,Materials,18.57,Mark Kowlzan,10265569,11051273948
ANSS,"ANSYS, Inc.",Information Technology,42.53,Ajei Gopal,10164184,13155919129
APH,Amphenol Corp.,Information Technology,25.9,R. Norwitt,10110360,26955335395
CMA,"Comerica, Inc.",Financials,18.89,Ralph Babb,10039842,16274969256
FMC,FMC Corp.,Materials,32.48,PIERRE BRONDEAU,9994552,11273961835
K,Kellogg Co.,Consumer Staples,16.5,Steven Cahillane,9989992,22182794875
JNPR,"Juniper Networks, Inc.",Information Technology,14.09,Rami Rahim,9984326,9267350000
ADS,Alliance Data Systems Corp.,Information Technology,13.02,Edward Heffernan,9978474,13632608582
DGX,"Quest Diagnostics, Inc.",Health Care,17.07,Stephen Rusckowski,9953287,13578300000
PCAR,"PACCAR, Inc.",Industrials,15.72,Ronald Armstrong,9929242,24152102921
UNM,Unum Group,Financials,11.51,Richard McKenney,9896861,11256432318
WEC,"WEC Energy Group, Inc.",Utilities,19.57,Gale Klappa,9862993,18890296993
PHM,"PulteGroup, Inc.",Consumer Discretionary,12.86,Ryan Marshall,9793261,8792572352
CTAS,Cintas Corp.,Industrials,32.75,Scott Farmer,9778369,16676145923
EIX,Edison International,Utilities,13.23,Pedro Pizarro,9777523,19447670886
ED,"Consolidated Edison, Inc.",Utilities,18.64,John McAvoy,9765858,23335777662
AES,The AES Corp.,Utilities,9.96,Andres Gluski,9759811,6920851212
XEC,Cimarex Energy Co.,Energy,26.37,Thomas Jorden,9727480,10089082025
ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,14.32,Bryan Hanson,9710434,24454698119
CERN,Cerner Corp.,Health Care,27.09,Brent Shafer,9633001,21101697598
TSN,"Tyson Foods, Inc.",Consumer Staples,13.92,Thomas Hayes,9486887,26957526800
NKE,"NIKE, Inc.",Consumer Discretionary,24.9,Mark Parker,9467460,106776113744
BEN,"Franklin Resources, Inc.",Financials,12.67,Gregory Johnson,9450152,21759187973
CFG,"Citizens Financial Group, Inc. (Rhode Island)",Financials,16.04,Bruce Saun,9405933,22008050974
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,26.66,Gary Philbin,9398842,25151198417
BK,The Bank of New York Mellon Corp.,Financials,14.76,Charles Scharf,9383885,56083904906
SWKS,"Skyworks Solutions, Inc.",Information Technology,16.45,Liam Griffin,9342113,18493080922
TSCO,Tractor Supply Co.,Consumer Discretionary,19.57,Gregory Sandfort,9329017,8459271203
SRE,Sempra Energy,Utilities,19.14,Jeffrey Martin,9324491,26163862235
INCY,Incyte Corp.,Health Care,-119.89,Herve Hoppenot,9314189,18220961259
PCG,PG&E Corp.,Utilities,8.75,Geisha Williams,9289842,20309412381
ROK,"Rockwell Automation, Inc.",Industrials,26.48,Blake Moret,9188851,24123216432
PSA,Public Storage,Real Estate,18.21,Ronald Havner,9182000,32258539942
WU,The Western Union Co.,Information Technology,10.17,Hikmet Ersek,9175300,8951609207
VRSN,"VeriSign, Inc.",Information Technology,29.5,D. Bidzos,9162786,10754983829
HOG,"Harley-Davidson, Inc.",Consumer Discretionary,13.7,Matthew Levatich,9149692,8158949890
RHI,"Robert Half International, Inc.",Industrials,20.18,Harold Messmer Jr.,9132451,7047165475
WM,"Waste Management, Inc.",Industrials,25.36,James Fish,9125281,35488486675
SBAC,SBA Communications Corp.,Real Estate,199.81,Jeffrey Stoops,9101986,19572031314
RMD,"ResMed, Inc.",Health Care,31.54,Michael Farrell,9082204,13233622689
KEY,KeyCorp,Financials,14.66,Beth Mooney,9064470,22589744920
CCI,Crown Castle International Corp.,Real Estate,21.45,Jay Brown,9025526,44183023189
ADSK,"Autodesk, Inc.",Information Technology,-77.07,Andrew Anagnost,9021758,24348294504
EQT,EQT Corp.,Energy,53.16,Steven Schlotterbeck,9003154,12638828950
KMX,"CarMax, Inc.",Consumer Discretionary,19.44,William Nash,8951547,11827453706
SEE,Sealed Air Corp.,Materials,21.31,Edward Doheny II,8934227,8001938397
NRG,"NRG Energy, Inc.",Utilities,17.78,Mauricio Gutierrez,8914948,8030036023
KSS,Kohl's Corp.,Consumer Discretionary,16.01,Kevin Mansell,8904852,10570861198
SNA,Snap-on Incorporated,Consumer Discretionary,15.81,Nicholas Pinchuk,8896358,9499107736
SIG,Signet Jewelers Ltd.,Consumer Discretionary,6.65,Virginia Drosos,8896303,3034275549
CNP,"CenterPoint Energy, Inc.",Utilities,19.73,Scott Prochazka,8887981,11362043297
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,19.54,Thomas Greco,8856135,8123611867
HBI,Hanesbrands Inc.,Consumer Discretionary,10.04,"Gerald Evans, Jr.",8832708,8006268615
STI,"SunTrust Banks, Inc.",Financials,16.25,William Rogers,8815914,32498948310
PWR,"Quanta Services, Inc.",Industrials,17.54,Earl Austin Jr.,8808204,5330131216
SYY,Sysco Corp.,Consumer Staples,22.98,Thomas Bene,8774577,30445320778
AME,"AMETEK, Inc.",Industrials,27.61,David Zapico,8762155,17139651923
RRC,Range Resources Corp.,Energy,35.61,Jeffrey Ventura,8711188,3255587970
AVY,Avery Dennison Corp.,Materials,22.11,Mitchell Butier,8709697,10104814319
FLS,Flowserve Corp.,Industrials,26.17,R. Rowe,8702469,5427884956
HCP,"HCP, Inc.",Real Estate,10.99,Thomas Herzog,8619819,10967755538
FBHS,"Fortune Brands Home & Security, Inc.",Industrials,20.27,Christopher Klein,8611331,9624169008
BBT,BB&T Corp.,Financials,16.26,Kelly King,8584675,42087562920
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,26.0,John Wiehoff,8558856,12932483889
HBAN,"Huntington Bancshares, Inc.",Financials,15.41,Stephen Steinour,8556915,16766497291
MLM,"Martin Marietta Materials, Inc.",Materials,30.38,C. Nye,8533458,13756812736
IFF,"International Flavors & Fragrances, Inc.",Materials,24.17,Andreas Fibig,8521940,11270040447
HAS,"Hasbro, Inc.",Consumer Discretionary,20.57,Brian Goldner,8499623,12732072001
AEE,Ameren Corp.,Utilities,20.38,Warner Baxter,8454460,12905744906
CBOE,"Cboe Global Markets, Inc.",Financials,35.06,Edward Tilly,8453137,12998295607
CAH,"Cardinal Health, Inc.",Health Care,12.29,Michael Kaufmann,8423580,20493281175
TAP,Molson Coors Brewing Co.,Consumer Staples,17.66,Mark Hunter,8341482,12396862128
XYL,"Xylem, Inc.",Industrials,30.94,Patrick Decker,8327670,12915021000
WAT,Waters Corp.,Health Care,26.64,Christopher O'Connell,8258221,16064078572
CHTR,"Charter Communications, Inc.",Consumer Discretionary,162.92,Thomas Rutledge,8157264,86708878113
CLX,The Clorox Co.,Consumer Staples,23.44,Benno Dorer,8133067,16540418002
CMS,CMS Energy Corp.,Utilities,21.42,Patricia Poppe,8091185,11873960824
AJG,Arthur J. Gallagher & Co.,Financials,21.05,J. Gallagher,8062954,11968488290
HST,"Host Hotels & Resorts, Inc.",Real Estate,11.23,James Risoleo,7981175,14394715334
GIS,"General Mills, Inc.",Consumer Staples,17.53,Jeffrey Harmening,7973615,31098243069
NTRS,Northern Trust Corp.,Financials,19.96,Michael O'Grady,7971986,22908130223
FLIR,"FLIR Systems, Inc.",Information Technology,25.53,James Cannon,7959846,6706992926
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,45.86,Steve Ells,7955042,7685283970
MCHP,"Microchip Technology, Inc.",Information Technology,21.77,Steve Sanghi,7893460,19393095636
TMK,Torchmark Corp.,Financials,17.02,Gary Coleman,7831616,9614412169
VMC,Vulcan Materials Co.,Materials,40.9,J. Hill,7802414,16964162228
HP,"Helmerich & Payne, Inc.",Energy,-54.51,John Lindsay,7777164,7345243806
CF,"CF Industries Holdings, Inc.",Materials,-59.46,W. Will,7758005,9209106695
VRSK,"Verisk Analytics, Inc.",Industrials,28.84,Scott Stephenson,7743757,15594677147
LUV,Southwest Airlines Co.,Industrials,15.89,Gary Kelly,7726455,34351211637
KORS,Capri Holdings Ltd.,Consumer Discretionary,14.29,John Idol,7607476,10053919023
ALLE,Allegion Plc,Industrials,21.07,David Petratis,7586780,7599609494
CDNS,"Cadence Design Systems, Inc.",Information Technology,34.09,Lip-Bu Tan,7556368,10890625200
AMG,"Affiliated Managers Group, Inc.",Financials,12.24,Nathaniel Dalton,7538535,10442174371
FRT,Federal Realty Investment Trust,Real Estate,18.35,Donald Wood,7464182,8077368506
SNPS,"Synopsys, Inc.",Information Technology,67.72,Aart Geus,7432836,12767067883
COST,Costco Wholesale Corp.,Consumer Staples,30.69,W. Jelinek,7408513,80439804508
RF,Regions Financial Corp.,Financials,17.9,John Turner Jr.,7397623,21500640000
COTY,"Coty, Inc.",Consumer Staples,24.64,Camillo Pane,7293988,13101112504
CHD,"Church & Dwight Co., Inc.",Consumer Staples,24.42,Matthew Farrell,7267713,11838963451
OKE,"ONEOK, Inc.",Energy,34.0,Terry Spencer,7099869,21988472489
MTD,"Mettler-Toledo International, Inc.",Health Care,35.56,Olivier Filliol,7069870,16420774443
RE,Everest Re Group Ltd.,Financials,27.24,Dominic Addesso,7066735,10131892523
O,Realty Income Corp.,Real Estate,15.54,Sumit Roy,7010019,13784942453
CPB,Campbell Soup Co.,Consumer Staples,14.84,Denise Morrison,6967086,13467193376
QRVO,"Qorvo, Inc.",Information Technology,19.71,Robert Bruggeworth,6941777,9877885146
EXPD,"Expeditors International of Washington, Inc.",Industrials,25.26,Jeffrey Musser,6915480,11040678071
NAVI,Navient Corp.,Financials,7.56,John Remondi,6904105,3692691330
DRE,Duke Realty Corp.,Real Estate,19.77,James Connor,6873613,9035293365
FFIV,"F5 Networks, Inc.",Information Technology,21.21,Francois Locoh-Donou,6857047,8744185796
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,30.62,John Roberts,6846236,12945366350
IDXX,"IDEXX Laboratories, Inc.",Health Care,53.57,Jonathan Ayers,6819950,15422885020
AOS,A. O. Smith Corp.,Industrials,27.76,Ajita Rajendra,6790412,10783419933
XRX,Xerox Corp.,Information Technology,8.87,Jeffrey Jacobson,6788597,7938833340
SJM,The J. M. Smucker Co.,Consumer Staples,15.35,Mark Smucker,6745939,13612394896
PAYX,"Paychex, Inc.",Information Technology,27.49,Martin Mucci,6736164,23253666810
ALB,Albemarle Corp.,Materials,26.03,Luther Kissam,6666394,11782151266
AGN,Allergan Plc,Health Care,10.65,Brenton Saunders,6624473,56668833898
UAA,"Under Armour, Inc.",Consumer Discretionary,32.05,Kevin Plank,6556629,5856913571
LNT,Alliant Energy Corp.,Utilities,19.86,Patricia Kampling,6520709,8670163500
HSIC,"Henry Schein, Inc.",Health Care,19.85,Stanley Bergman,6481739,11452961984
ISRG,"Intuitive Surgical, Inc.",Health Care,48.58,Gary Guthart,6423078,44866621303
COO,"The Cooper Cos., Inc.",Health Care,22.96,Robert Weiss,6397266,11297958140
HRL,Hormel Foods Corp.,Consumer Staples,20.39,James Snee,6353255,17338613096
UDR,"UDR, Inc.",Real Estate,17.79,Thomas Toomey,6278476,9050154422
ETFC,E*TRADE Financial Corp.,Financials,22.14,Karl Roessner,6253098,13754977266
GT,Goodyear Tire & Rubber Co.,Consumer Discretionary,9.92,Richard Kramer,6213100,8244568238
PNR,Pentair Plc,Industrials,18.89,John Stauch,6014401,12466660892
NI,"NiSource, Inc.",Utilities,19.57,Joseph Hamrock,5778515,7776566371
KIM,Kimco Realty Corp.,Real Estate,9.28,Conor Flynn,5743899,6180487499
EQIX,"Equinix, Inc.",Real Estate,23.06,Peter Van Camp,5726629,33333813618
L,Loews Corp.,Financials,15.99,James Tisch,5714569,16111166935
PBCT,"People's United Financial, Inc.",Financials,18.02,John Barnes,5700285,6527616000
DFS,Discover Financial Services,Financials,12.13,Roger Hochschild,5664102,27433540000
HII,"Huntington Ingalls Industries, Inc.",Industrials,18.75,C. Petters,5551979,10628247899
KSU,Kansas City Southern,Industrials,19.8,Patrick Ottensmeyer,5523327,11037040988
DISH,DISH Network Corp.,Consumer Discretionary,16.09,W. Carlson,5320917,21032719056
GPC,Genuine Parts Co.,Consumer Discretionary,21.17,Paul Donahue,5300329,14554321748
AVGO,Broadcom Inc.,Information Technology,15.94,Hock Tan,5042937,92791974933
BWA,"BorgWarner, Inc.",Consumer Discretionary,14.15,Frederic Lissalde,5008443,11596117445
WLTW,Willis Towers Watson Plc,Financials,18.67,John Haley,4991828,20780269334
AWK,"American Water Works Co., Inc.",Utilities,26.23,Susan Story,4983114,13906146184
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,21.91,Gregory Johnson,4866262,21433781860
MTB,M&T Bank Corp.,Financials,18.91,Rene Jones,4770132,27840827434
MHK,"Mohawk Industries, Inc.",Consumer Discretionary,19.08,Jeffrey Lorberbaum,4631485,19897356456
LB,"L Brands, Inc.",Consumer Discretionary,12.77,Leslie Wexner,4553310,13862042842
JWN,"Nordstrom, Inc.",Consumer Discretionary,15.04,Blake Nordstrom,4476030,8212509855
ALK,"Alaska Air Group, Inc.",Industrials,9.66,Bradley Tilden,4374845,7903173734
ZION,Zions Bancorporation NA,Financials,17.73,Harris Simmons,4363039,10670678640
EFX,"Equifax, Inc.",Industrials,19.03,Paulino Rego Barros Jr.,4267422,14121334618
AZO,"AutoZone, Inc.",Consumer Discretionary,16.31,William Rhodes,4220619,19922021415
SRCL,"Stericycle, Inc.",Industrials,16.26,Charles Alutto,4119620,6218560288
XLNX,"Xilinx, Inc.",Information Technology,27.19,Victor Peng,4109670,17064975551
LKQ,LKQ Corp.,Consumer Discretionary,21.35,Dominick Zarcone,3978116,12469931896
MAT,"Mattel, Inc.",Consumer Discretionary,-14.68,Margaret Georgiadis,3790949,5843402350
CINF,Cincinnati Financial Corp.,Financials,27.48,Steven Johnston,3444610,11916533018
MO,"Altria Group, Inc.",Consumer Staples,18.89,Martin Barrington,3199402,126985101434
GRMN,Garmin Ltd.,Consumer Discretionary,21.23,Clifton Pemble,2932920,11840331607
AYI,"Acuity Brands, Inc.",Industrials,18.22,Vernon Nagel,2664612,6242377704
FAST,Fastenal Co.,Industrials,27.02,Daniel Florness,2429411,15311373377
TRIP,"TripAdvisor, Inc.",Consumer Discretionary,58.04,Stephen Kaufer,1972764,5700998508
AMZN,"Amazon.com, Inc.",Consumer Discretionary,296.16,Jeffrey Bezos,1681840,685873374731
PDCO,"Patterson Cos., Inc.",Health Care,14.05,Scott Anderson,871918,3209792400
WYNN,Wynn Resorts Ltd.,Consumer Discretionary,31.7,Stephen Wynn,786361,18225400525
HPE,Hewlett-Packard Enterprise Co.,Information Technology,11.57,Margaret Whitman,750042,24800859640
XRAY,"DENTSPLY SIRONA, Inc.",Health Care,22.65,Mark Thierer,714436,13390513478
HRB,"H&R Block, Inc.",Financials,12.29,William Cobb,595470,5381433872
BRK.B,"Berkshire Hathaway, Inc.",Financials,30.43,Warren Buffett,388968,261401203633
INFO,IHS Markit Ltd.,Industrials,26.19,Jerre Stead,187067,17969275816
ARNC,"Arconic, Inc.",Industrials,20.21,David Hess,67418,12123300000
GOOGL,"Alphabet, Inc.",Information Technology,31.48,Larry Page,1,733823966137
